id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,forecast_gain,fcst_greater_than_baseline,last_train_acc,last_train_loss,last_val_acc,last_val_loss,slope_val_acc,var_val_acc,gap_val_acc
1,1024,"[54, 108]",1,[0.1],"[39, 69, 78, 98, 98, 118, 121, 331, 336, 344, 353, 353, 378, 413, 437, 448, 458, 468]",inv_pyramid,18,<class 'torch.nn.modules.activation.ELU'>,0.1,<class 'torch.optim.rmsprop.RMSprop'>,0.00012300476584335563,1e-06,,1024,True,kaiming_uniform,exponential,{'gamma': 0.9},13,[3.523897409439087],[0.24074074074074073],[6.072625160217285],[0.34558823529411764],[],[],0.0,0.34558823529411764,0.0,False,0.24074074074074073,3.523897409439087,0.34558823529411764,6.072625160217285,,,
4,256,"[54, 108]",1,[0.1],"[453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453, 453]",constant,19,<class 'torch.nn.modules.activation.GELU'>,0.4,<class 'torch.optim.adamw.AdamW'>,0.03676017177658425,1e-05,,256,True,xavier_normal,exponential,{'gamma': 0.95},52,[273.3727722167969],[0.24074074074074073],[81854664.0],[0.33088235294117646],[],[],0.0,0.33088235294117646,0.0,False,0.24074074074074073,273.3727722167969,0.33088235294117646,81854664.0,,,
2,32,"[54, 108]",1,[0.1],"[500, 492, 491, 489, 483, 441, 440, 435, 432, 426, 405, 400, 394, 394, 385, 376, 370, 357, 352, 344, 340, 328, 322, 310, 308, 302, 281, 260, 250, 247, 224, 222, 212, 202, 189, 127, 127, 116, 113, 108, 106, 90, 76, 69, 68, 32, 24, 18, 17]",pyramid,49,<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.rmsprop.RMSprop'>,0.03419909293079641,0.001,,32,True,xavier_uniform,none,{},26,[nan],[0.2962962962962963],[nan],[0.21323529411764705],[],[],0.0,0.21323529411764705,0.0,False,0.2962962962962963,,0.21323529411764705,,,,
0,512,"[54, 108]",1,[0.1],"[498, 497, 473, 427, 404, 301, 264, 251, 247, 210, 186, 158, 135, 23, 135, 158, 186, 210, 247, 251, 264, 301, 404, 427, 473, 497, 498]",hourglass,26,<class 'torch.nn.modules.activation.LeakyReLU'>,0.4,<class 'torch.optim.sgd.SGD'>,0.0007006700163436125,0.0,0.95,512,True,kaiming_uniform,step,"{'step_size': 5, 'gamma': 0.9}",0,[922.6168212890625],[0.18518518518518517],[15.684653282165527],[0.21323529411764705],[],[],0.0,0.21323529411764705,0.0,False,0.18518518518518517,922.6168212890625,0.21323529411764705,15.684653282165527,,,
3,256,"[54, 108]",1,[0.1],"[5, 16, 94, 102, 115, 133, 185, 200, 205, 291, 333, 349, 366, 376, 412]",inv_pyramid,15,<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.adam.Adam'>,0.0012551370533794928,0.0,,256,False,kaiming_normal,step,"{'step_size': 30, 'gamma': 0.9}",39,[2.3538150787353516],[0.2037037037037037],[1.4214962720870972],[0.21323529411764705],[],[],0.0,0.21323529411764705,0.0,False,0.2037037037037037,2.3538150787353516,0.21323529411764705,1.4214962720870972,,,
8,64,"[54, 108, 216]",2,"[0.1, 0.4]","[397, 377, 119]",pyramid,3,<class 'torch.nn.modules.activation.Tanh'>,0.2,<class 'torch.optim.adam.Adam'>,0.013849429085774986,0.0,,64,True,xavier_normal,step,"{'step_size': 5, 'gamma': 0.9}",104,"[1.425340175628662, 1.6737604141235352]","[0.18518518518518517, 0.4444444444444444]","[1.4326358192107256, 2.447872330160702]","[0.41911764705882354, 0.2867647058823529]",[],[],0.0,0.2867647058823529,0.0,False,0.4444444444444444,1.6737604141235352,0.2867647058823529,2.447872330160702,,,
10,64,"[54, 108, 216]",2,"[0.1, 0.4]","[486, 411, 404, 382, 341, 340, 334, 300, 273, 237, 228, 186, 176, 176, 142, 125, 116, 14, 14, 116, 125, 142, 176, 176, 186, 228, 237, 273, 300, 334, 340, 341, 382, 404, 411, 486]",hourglass,35,<class 'torch.nn.modules.activation.GELU'>,0.5,<class 'torch.optim.adam.Adam'>,0.004732100769488035,0.01,,64,False,xavier_uniform,none,{},130,"[1.3890767097473145, 1.3861304212499548]","[0.2777777777777778, 0.2962962962962963]","[1.3862526136286117, 1.3865032827152926]","[0.22058823529411764, 0.23529411764705882]",[],[],0.0,0.23529411764705882,0.0,False,0.2962962962962963,1.3861304212499548,0.23529411764705882,1.3865032827152926,,,
16,256,"[54, 108, 216]",2,"[0.1, 0.4]","[498, 440, 427, 421, 411, 381, 351, 326, 321, 296, 292, 291, 238, 237, 218, 179, 134, 133, 31]",triangular,19,<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.0007947892367171965,0.001,0.9,256,False,kaiming_normal,cosine,{'T_max': 100},208,"[1.5948573350906372, 1.8029654026031494]","[0.2777777777777778, 0.19444444444444445]","[1.4667627811431885, 1.4542261362075806]","[0.23529411764705882, 0.23529411764705882]",[],[],0.0,0.23529411764705882,0.0,False,0.19444444444444445,1.8029654026031494,0.23529411764705882,1.4542261362075806,,,
11,64,"[54, 108, 216]",2,"[0.1, 0.4]","[11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",constant,13,<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.00017764530198530006,0.0001,0.99,64,True,xavier_uniform,cosine,{'T_max': 50},143,"[12.351967811584473, 11.748832561351636]","[0.2037037037037037, 0.25]","[4.9665842477013085, 3.756068510167739]","[0.22058823529411764, 0.22058823529411764]",[],[],0.0,0.22058823529411764,0.0,False,0.25,11.748832561351636,0.22058823529411764,3.756068510167739,,,
13,32,"[54, 108, 216]",2,"[0.1, 0.4]","[428, 428, 427, 407, 387, 311, 292, 287, 276, 274, 264, 244, 179, 140, 110, 65, 40, 3]",triangular,18,<class 'torch.nn.modules.activation.LeakyReLU'>,0.3,<class 'torch.optim.adam.Adam'>,0.000487706860346442,1e-06,,32,True,kaiming_uniform,cosine,{'T_max': 100},169,"[27.876962096602828, 11.811468495262993]","[0.16666666666666666, 0.2777777777777778]","[1.4125235992319443, 1.3886631025987513]","[0.18382352941176472, 0.22058823529411764]",[],[],0.0,0.22058823529411764,0.0,False,0.2777777777777778,11.811468495262993,0.22058823529411764,1.3886631025987513,,,
